id,name,city,country,iata,icao,latitude,longitude,altitude,offset,dst,timezone
5968,Kanas Airport,Burqin,China,KJI,ZWKN,48.2223,86.9959,3921,8,U,Asia/Shanghai
5969,Capurgan? Airport,Capurgana,Colombia,CPB,SKCA,8.63333,-77.35,49,-5,S,America/Bogota
5970,Sohag International Airport,Sohag,Egypt,HMB,HEMK,26.342778,31.742778,310,2,E,Africa/Cairo
5971,Presidente General Don Oscar D. Gestido International Airport,Rivera,Uruguay,RVY,SURV,-30.97459984,-55.4762001,712,-3,S,America/Montevideo
5972,Patos de Minas Airport,Patos de Minas,Brazil,POJ,SNPD,-18.67280006,-46.49119949,2793,-3,S,America/Sao_Paulo
5973,Bauru - Arealva Airport,Bauru,Brazil,JTC,SJTC,-22.16685914,-49.05028667,1949,-3,S,America/Sao_Paulo
5974,Ouril?ndia do Norte Airport,Ourilandia do Norte,Brazil,OIA,SDOW,-6.763100147,-51.04990005,901,-3,S,America/Belem
5975,Reden??o Airport,Redencao,Brazil,RDC,SNDC,-8.033289909,-49.97990036,670,-3,S,America/Belem
5976,S?o F?lix do Xingu Airport,Sao Felix do Xingu,Brazil,SXX,SNFX,-6.6413,-51.9523,656,-3,S,America/Belem
5977,Bonito Airport,Bointo,Brazil,BYO,SJDB,-21.247299,-56.452499,1180,-4,S,America/Campo_Grande
5978,S?o F?lix do Araguaia Airport,Sao Felix do Araguaia,Brazil,SXO,SWFX,-11.63239956,-50.6896019,650,-4,S,America/Campo_Grande
5979,Ca?ador Airport,Cacador,Brazil,CFC,SBCD,-26.78840065,-50.93980026,3376,-3,S,America/Sao_Paulo
5980,Carauari Airport,Carauari,Brazil,CAF,SWCA,-4.871520042,-66.89749908,355,-4,S,America/Boa_Vista
5981,Urucu Airport,Porto Urucu,Brazil,\N,SWUY,-4.884220123,-65.35540009,243,-4,S,America/Boa_Vista
5982,Eirunep? Airport,Eirunepe,Brazil,ERN,SWEI,-6.639530182,-69.87979889,412,-4,S,America/Boa_Vista
5983,Conc?rdia Airport,Concordia,Brazil,CCI,SSCK,-27.18059921,-52.05270004,2461,-3,S,America/Sao_Paulo
5984,Francisco Beltr?o Airport,Francisco Beltrao,Brazil,FBE,SSFB,-26.05920029,-53.06349945,2100,-3,S,America/Sao_Paulo
5985,Confresa Airport,Confresa,Brazil,CFO,SJHG,-10.63440037,-51.56359863,781,-4,S,America/Campo_Grande
5986,Apalachicola Regional Airport,Apalachicola,United States,AAF,KAAF,29.72750092,-85.02749634,20,-5,A,America/New_York
5987,Umuarama Airport,Umuarama,Brazil,UMU,SSUM,-23.79870033,-53.31380081,1558,-3,S,America/Sao_Paulo
5988,Diamantina Airport,Diamantina,Brazil,DTI,SNDT,-18.23200035,-43.65039825,4446,-3,S,America/Sao_Paulo
5989,Fonte Boa Airport,Fonte Boa,Brazil,FBA,SWOB,-2.53260994,-66.08319855,207,-4,S,America/Boa_Vista
5990,Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,SDCG,-3.467929508,-68.92041206,335,-4,S,America/Boa_Vista
5991,Humait? Airport,Humaita,Brazil,HUW,SWHT,-7.532120228,-63.07210159,230,-4,S,America/Boa_Vista
5992,Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,SWTP,-0.3786,-64.9923,223,-4,S,America/Boa_Vista
5993,Oriximin? Airport,Oriximina,Brazil,ORX,SNOX,-1.714079976,-55.83620071,262,-3,S,America/Belem
5994,Hotel Transam?rica Airport,Una,Brazil,UNA,SBTC,-15.35519981,-38.99900055,20,-3,S,America/Fortaleza
5995,Telfer Airport,Telfer,Australia,TEF,YTEF,-21.71500015,122.2289963,970,8,N,Australia/Perth
5996,Gazipa?a Airport,Alanya,Turkey,GZP,LTGP,36.29921722,32.30059814,86,3,E,Europe/Istanbul
5997,Douglas Municipal Airport,Douglas,United States,DQH,KDQH,31.47669983,-82.86049652,257,-5,A,America/New_York
5998,St Lucie County International Airport,Fort Pierce,United States,FRP,KFPR,27.49510002,-80.36830139,24,-5,A,America/New_York
5999,Taunton Municipal King Field,Taunton,United States,TAN,KTAN,41.87440109,-71.01660156,43,-5,A,America/New_York
6000,Plymouth Municipal Airport,Plymouth,United States,PYM,KPYM,41.9090004,-70.72879791,148,-5,A,America/New_York
6001,Quonset State Airport,North Kingstown,United States,OQU,KOQU,41.5970993,-71.41210175,18,-5,A,America/New_York
6002,Norwood Memorial Airport,Norwood,United States,OWD,KOWD,42.19049835,-71.17289734,49,-5,A,America/New_York
6003,Barnes Municipal Airport,Westfield,United States,BAF,KBAF,42.157799,-72.715599,271,-5,A,America/New_York
6004,Windham Airport,Willimantic,United States,IJD,KIJD,41.74399948,-72.18029785,247,-5,A,America/New_York
6005,Orange County Airport,Montgomery,United States,MGJ,KMGJ,41.50999832,-74.26460266,364,-5,A,America/New_York
6006,Capital City Airport,Harrisburg,United States,CXY,KCXY,40.21709824,-76.85150146,347,-5,A,America/New_York
6007,Marshfield Municipal George Harlow Field,Marshfield,United States,GHG,KGHG,42.09830093,-70.67220306,11,-5,A,America/New_York
6008,Danbury Municipal Airport,Danbury,United States,DXR,KDXR,41.37149811,-73.48220062,458,-5,A,America/New_York
6009,Boire Field,Nashua,United States,ASH,KASH,42.78170013,-71.51480103,199,-5,A,America/New_York
6010,Lawrence Municipal Airport,Lawrence,United States,LWM,KLWM,42.71720123,-71.12339783,148,-5,A,America/New_York
6011,Waterbury Oxford Airport,Oxford,United States,OXC,KOXC,41.47859955,-73.1352005,726,-5,A,America/New_York
6012,Fitchburg Municipal Airport,Fitchburg,United States,FIT,KFIT,42.55410004,-71.75900269,348,-5,A,America/New_York
6013,Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,United States,\N,20GA,33.75650024,-84.88469696,1110,-5,A,America/New_York
6014,Cartersville Airport,Cartersville,United States,VPC,KVPC,34.12310028,-84.84870148,759,-5,A,America/New_York
6015,Centre-Piedmont-Cherokee County Regional Airport,Centre,United States,PYP,KPYP,34.089977,-85.610069,596,-6,A,America/Chicago
6016,Richard B Russell Airport,Rome,United States,RMG,KRMG,34.3506012,-85.15799713,644,-5,A,America/New_York
6017,Northeast Alabama Regional Airport,Gadsden,United States,GAD,KGAD,33.972599,-86.088996,569,-6,A,America/Chicago
6018,Knoxville Downtown Island Airport,Knoxville,United States,DKX,KDKX,35.96390152,-83.87390137,833,-5,A,America/New_York
6019,Barrow County Airport,Winder,United States,WDR,KWDR,33.98289871,-83.66739655,943,-5,A,America/New_York
6020,Plantation Airpark,Sylvania,United States,JYL,KJYL,32.64530182,-81.5970993,188,-5,A,America/New_York
6021,Dalton Municipal Airport,Dalton,United States,DNN,KDNN,34.72290039,-84.87020111,709,-5,A,America/New_York
6022,West Georgia Regional O V Gray Field,Carrollton,United States,CTJ,KCTJ,33.63100052,-85.15200043,1161,-5,A,America/New_York
6023,Lagrange Callaway Airport,LaGrange,United States,LGC,KLGC,33.00889969,-85.07260132,693,-5,A,America/New_York
6024,Baldwin County Airport,Milledgeville,United States,MLJ,KMLJ,33.15420151,-83.24069977,385,-5,A,America/New_York
6025,Harris County Airport,Pine Mountain,United States,PIM,KPIM,32.84069824,-84.88240051,902,-5,A,America/New_York
6026,Peachtree City Falcon Field,Atlanta,United States,FFC,KFFC,33.3572998,-84.57180023,808,-5,A,America/New_York
6027,Lee Gilmer Memorial Airport,Gainesville,United States,GVL,KGVL,34.27259827,-83.8302002,1276,-5,A,America/New_York
6028,Harry Clever Field,New Philadelpha,United States,PHD,KPHD,40.47090149,-81.41970062,894,-5,A,America/New_York
6029,Darlington County Jetport Airport,Darlington,United States,UDG,KUDG,34.44940186,-79.89009857,192,-5,A,America/New_York
6030,Hilton Head Airport,Hilton Head Island,United States,HHH,KHXD,32.22439957,-80.69750214,19,-5,A,America/New_York
6031,Daniel Field,Augusta,United States,DNL,KDNL,33.46649933,-82.03939819,423,-5,A,America/New_York
6032,Foothills Regional Airport,Morganton,United States,MRN,KMRN,35.82020187,-81.61139679,1270,-5,A,America/New_York
6033,Pike County-Hatcher Field,Pikeville,United States,PBX,KPBX,37.5617981,-82.56639862,1473,-5,A,America/New_York
6034,Mallards Landing Airport,Locust Grove,United States,\N,GA04,33.36569977,-84.16519928,837,-5,A,America/New_York
6035,Toccoa Airport - R.G. Letourneau Field,Toccoa,United States,TOC,KTOC,34.59379959,-83.29579926,996,-5,A,America/New_York
6036,Compton Abbas Aerodrome,Shaftesbury,United Kingdom,\N,EGHA,50.96720123,-2.153609991,811,0,U,Europe/London
